Start,Destination,Distance_KM,Num_Signals,Total_Signal_Wait,Queue_Length,Time_Car,Time_Bike,Time_Cycle,Time_Bus,Time_Metro,Expense_Car,Expense_Bike,Expense_Cycle,Expense_Bus,Expense_Metro,Pollution_Car,Pollution_Bike,Pollution_Cycle,Pollution_Bus,Pollution_Metro,Rush_Factor,Pollution_Exposure,Physical_Activity
Karol Bagh,Nehru Place,19.455435491610537,7,661,64,48.902817109633524,39.122253687706824,73.35422566445028,49.283380531560226,26,142.06724999442477,45.810480300937705,0,36,29,288.7731628654098,100.70584917441312,0,79.59479164298216,51.93036847093419,0.64,438,1
Rajouri Garden,Dwarka,34.93367454537406,2,220,88,79.99829418805986,63.99863535044789,119.9974412820898,85.79795302567183,42,205.14265679543973,116.0791925556803,0,17,32,504.2243552924366,209.98280657520095,0,265.71362632682155,47.10428903008175,0.88,490,1
Sarojini Nagar,Tilak Nagar,19.243408414616145,8,1128,73,62.28365939007561,49.82692751206049,93.42548908511341,62.74039126809073,21,164.88658859531736,48.42448795560346,0,29,43,211.08493896523984,98.78033847441677,0,125.54704311596244,26.63733407415382,0.73,121,1
Laxmi Nagar,Okhla,10.863313477987642,9,733,47,32.63594561251297,26.10875649001038,48.953918418769454,31.963134735015558,37,91.78685933686529,24.801155392390594,0,20,31,126.65538571715898,96.0089396433905,0,59.56027454764432,23.637112588649387,0.47,278,1
Shahdara,Sarojini Nagar,8.970350349252419,8,664,10,27.678633874926838,22.14290709994147,41.517950812390254,29.814360649912206,40,63.885157857856676,28.96323899983899,0,32,21,132.49965435033633,76.52379716073517,0,50.110233213294855,13.25718742432351,0.1,198,1
Tughlakabad,Greater Kailash,5.348466922994254,8,566,40,23.04609970061405,18.43687976049124,34.569149550921075,21.05531964073686,33,51.95240159960693,19.546921323038415,0,37,25,77.02190498956175,41.25200078324275,0,29.82775202130123,14.371999154901554,0.4,492,1
Tughlakabad,Vasant Kunj,28.835860533121256,2,49,88,40.628824633433844,32.503059706747074,60.94323695015076,39.15458956012061,32,232.51885349896935,72.58862749880562,0,10,25,300.2480905980658,207.79389932035264,0,125.46621778263318,77.91942907697621,0.88,451,1
Saket,Rohini,20.818150978929825,8,770,85,49.28047169367647,39.42437735494118,73.9207075405147,47.13656603241176,36,145.62858695439272,79.48804448039974,0,34,20,260.18394835144886,149.31355097123767,0,117.60666834462799,40.2594550306662,0.85,296,1
Shahdara,Rohini,13.117691173152522,5,508,78,31.786113747659776,25.428890998127823,47.67917062148966,28.14333649719173,45,80.95262781186021,43.46193456107904,0,35,42,157.55750624899952,119.73104022702564,0,92.7642369358121,16.089249634909365,0.78,165,1
AIIMS,Nehru Place,20.827542444602386,7,600,26,47.172909669474755,37.73832773557981,70.75936450421213,52.207491603369704,40,198.3568621293823,48.02262465395077,0,34,22,302.02192110439603,160.13978082396542,0,87.31802725586664,34.828226931198024,0.26,240,1
