Start,Destination,Distance_KM,Num_Signals,Total_Signal_Wait,Queue_Length,Time_Car,Time_Bike,Time_Cycle,Time_Bus,Time_Metro,Expense_Car,Expense_Bike,Expense_Cycle,Expense_Bus,Expense_Metro,Pollution_Car,Pollution_Bike,Pollution_Cycle,Pollution_Bus,Pollution_Metro,Rush_Car,Rush_Bike,Rush_Cycle,Rush_Bus,Rush_Metro,Pollution_Exposure_Car,Pollution_Exposure_Bike,Pollution_Exposure_Cycle,Pollution_Exposure_Bus,Pollution_Exposure_Metro,Physical_Activity
Tughlakabad,Lajpat Nagar,29.26632236648797,6,562,23,40.33338006654653,32.26670405323723,60.500070099819794,44.200056079855834,26,275.24018498328564,86.84748796468536,0,15,45,380.5271346612899,211.8794735073681,0,231.64450912148263,87.20519054632612,0.23,0.18400000000000002,0,0,0.37136693109092334,163,195.6,244.5,223,137,1
Connaught Place,Chandni Chowk,30.421921788960727,10,1009,100,104.80954182005783,83.84763345604627,157.21431273008676,110.57145018406939,20,239.55940129109197,94.47100016204428,0,10,34,431.3736244153918,178.247900638777,0,96.22651017490509,86.13456428817149,1.0,0.8,0,0,0.31438657864627867,158,189.6,237.0,233,113,1
Dwarka,Sarojini Nagar,5.8557911070757935,4,358,83,28.559250626795954,22.847400501436766,42.83887594019393,23.671100752155144,37,52.28512839995744,12.36278469328815,0,15,29,74.99742139526383,30.229144509453196,0,43.39409515757097,12.074725151096093,0.83,0.664,0,0,0.740040854533089,245,294.0,367.5,159,126,1
Connaught Place,Greater Kailash,17.108153531867185,5,616,56,44.44488820281094,35.55591056224875,66.6673323042164,45.333865843373125,29,89.84816571115373,56.72997664684752,0,32,49,243.21451347915388,167.98868088691836,0,57.3269941921433,41.53911056191258,0.56,0.44800000000000006,0,0,0.4950353541498684,185,222.0,277.5,276,121,1
Laxmi Nagar,Tilak Nagar,20.14138266455926,4,254,82,43.66436857907125,34.931494863257,65.49655286860687,41.997242294885496,45,152.72884114747677,73.45479859795383,0,28,26,269.4673033112103,144.81903866766334,0,85.61857623148042,29.972699403809152,0.82,0.656,0,0,0.6148386871752134,256,307.2,384.0,101,82,1
Janakpuri,Vasant Kunj,11.233861400431008,9,1015,26,34.26631455983535,27.413051647868283,51.399471839753026,35.51957747180242,35,112.13015140155716,37.240017672797,0,18,30,130.7378067067771,80.55239412054824,0,84.49855300307371,22.70197652836172,0.26,0.20800000000000002,0,0,0.3942062351227543,170,204.0,255.0,182,69,1
Dwarka,Janakpuri,14.414255244874832,5,427,1,26.853852508223554,21.483082006578844,40.28077876233533,30.824623009868265,45,119.47001539994015,51.038421472480486,0,15,44,204.0122951882817,91.44850540199451,0,53.56100482467507,39.562160095633615,0.01,0.008,0,0,0.7622020368763698,244,292.8,366.0,254,74,1
Okhla,Dwarka,21.721287546676784,6,269,51,41.368313576916776,33.094650861533424,62.052470365375164,42.84197629230013,35,207.03825927415775,55.83860169826947,0,25,45,313.1683847101889,158.5557245772944,0,133.5872880584322,31.419930403821397,0.51,0.40800000000000003,0,0,0.261833878532321,172,206.4,258.0,270,100,1
Sarojini Nagar,Kashmere Gate,30.449734454502487,4,361,93,59.72642303967574,47.781138431740594,89.5896345595136,59.67170764761088,38,292.51251324115316,113.54378345621089,0,18,28,362.8483611383235,302.4345512947223,0,198.5830544222154,89.12551890898162,0.93,0.7440000000000001,0,0,0.7520410409510982,164,196.79999999999998,246.0,284,133,1
Rohini,Karol Bagh,26.914222107746255,9,987,96,68.4276014304562,54.74208114436497,102.64140214568431,68.11312171654745,27,213.00768874619223,83.14018762409948,0,30,41,335.39480823227575,142.87944000453462,0,98.75873610303921,72.94686116847805,0.96,0.768,0,0,0.21294891521958637,248,297.59999999999997,372.0,202,74,1
Shahdara,Okhla,18.428479977161153,5,599,60,47.12748989065813,37.70199191252651,70.6912348359872,47.55298786878976,33,101.01837596207574,39.50456090750907,0,15,26,185.64550071786277,169.55247514895112,0,122.92489802005467,46.62051239794077,0.6,0.48,0,0,0.7309164441554779,395,474.0,592.5,169,68,1
Greater Kailash,Dwarka,27.458694900823986,7,728,68,47.45917237466578,37.96733789973263,71.18875856199867,47.351006849598946,37,196.42337922261504,104.55693851171016,0,12,47,337.4397541474817,267.92934452772465,0,188.92859173523303,27.57494184072033,0.68,0.544,0,0,0.4460904025328045,340,408.0,510.0,245,69,1
Saket,Shahdara,7.624425515943791,5,424,41,22.827223895774402,18.261779116619522,34.2408358436616,21.192668674929287,22,63.16883852514749,21.360036462924015,0,16,42,103.72598829764735,57.939709003419715,0,38.028085836686685,8.516351951955135,0.41,0.328,0,0,0.6120183531295077,326,391.2,489.0,218,126,1
Greater Kailash,Connaught Place,12.327040598201158,3,371,65,25.52571071493943,20.420568571951545,38.28856607240914,22.23085285792731,22,118.02865525322471,32.484463573536694,0,27,41,150.24014928232347,106.50757131427582,0,45.03204441051108,33.697745416955286,0.65,0.52,0,0,0.2538560702242315,183,219.6,274.5,290,82,1
Lajpat Nagar,Connaught Place,31.091379862561592,9,937,12,56.35424432333966,45.08339545867173,84.53136648500949,63.42509318800759,25,296.89810947536404,105.19715373885722,0,39,39,325.6149547047392,246.65647465431454,0,177.95054321128822,78.65523367419873,0.12,0.096,0,0,0.5204556759474079,209,250.79999999999998,313.5,295,75,1
Greater Kailash,Uttam Nagar,26.095815211099193,5,331,72,46.14735474289068,36.917883794312544,69.22103211433601,45.97682569146881,26,170.16261965360462,103.59283396666046,0,12,33,352.7564621096729,171.1559396483219,0,137.6525665444679,59.13874391754039,0.72,0.576,0,0,0.4265147759622433,155,186.0,232.5,118,111,1
Vasant Kunj,Shahdara,38.30783710407786,8,674,77,113.84922979405785,91.07938383524629,170.77384469108677,126.01907575286941,23,216.34212321328056,120.78128540216919,0,25,43,518.8117566807977,196.4605941530563,0,239.86473629715707,51.46940319748209,0.77,0.6160000000000001,0,0,0.2691595431680698,219,262.8,328.5,191,52,1
